study.train	study.test	AUC
metaHIT	metaHIT	0.9805499664654594
Lewis_2015	metaHIT	0.9256844850065189
He_2017	metaHIT	0.9361147327249022
Franzosa_2019	metaHIT	0.9387222946544981
HMP2	metaHIT	0.7953063885267275
metaHIT	Lewis_2015	0.8696470588235294
Lewis_2015	Lewis_2015	0.9473469387755102
He_2017	Lewis_2015	0.8527058823529412
Franzosa_2019	Lewis_2015	0.8376470588235294
HMP2	Lewis_2015	0.7656470588235295
metaHIT	He_2017	0.9584135541008857
Lewis_2015	He_2017	0.9002695417789758
He_2017	He_2017	0.9911436272622256
Franzosa_2019	He_2017	0.9445514054678475
HMP2	He_2017	0.8452060069310743
metaHIT	Franzosa_2019	0.9210633116883117
Lewis_2015	Franzosa_2019	0.856737012987013
He_2017	Franzosa_2019	0.890422077922078
Franzosa_2019	Franzosa_2019	0.9358766233766234
HMP2	Franzosa_2019	0.7372159090909091
metaHIT	HMP2	0.7253846153846154
Lewis_2015	HMP2	0.6692307692307692
He_2017	HMP2	0.6753846153846154
Franzosa_2019	HMP2	0.7000000000000001
HMP2	HMP2	0.5063658788891542
